country,reach,employment,temp_contract,autonomy_selection,autonomy_emphasis,ethics_1,ethics_2,ethics_3,ethics_4,work_experience,trust_parliament,trust_government,trust_parties,trust_politicians
Germany,National,Full-time,Permanent,5,4,2,3,2,1,10,3,3,3,3
Germany,National,Full-time,Permanent,3,4,1,2,2,1,7,4,4,3,3
Switzerland,Regional,Full-time,Permanent,4,4,2,4,2,1,6,4,4,3,3
Switzerland,Local,Part-time,Permanent,4,5,1,3,1,2,7,4,4,3,3
Austria,National,Part-time,Permanent,4,4,2,3,2,1,15,3,2,2,2
Switzerland,Local,Freelancer,NA,4,4,2,4,4,3,27,4,4,3,2
Germany,Local,Full-time,Permanent,4,4,1,3,2,2,24,2,1,3,2
Denmark,National,Full-time,Permanent,3,3,2,4,4,4,11,4,3,3,3
Switzerland,Local,Full-time,Permanent,5,5,1,2,1,3,25,1,1,1,1
Denmark,National,Full-time,Permanent,2,4,1,4,4,4,4,3,3,3,3
Austria,Local,Full-time,Permanent,5,5,1,1,2,1,8,3,2,2,2
Denmark,National,Freelancer,NA,4,4,2,4,2,4,25,3,3,3,3
UK,Regional,Full-time,Permanent,3,4,1,2,4,2,10,3,2,2,2
UK,Transnational,Full-time,Permanent,4,5,2,4,4,4,5,3,2,2,2
Austria,National,Full-time,Permanent,3,3,1,4,4,4,23,3,2,2,1
Denmark,National,Freelancer,NA,5,5,3,4,3,3,25,4,2,3,3
UK,Transnational,Full-time,Permanent,4,4,1,4,2,3,11,2,3,2,2
Switzerland,Regional,Full-time,Permanent,4,4,2,4,3,4,8,3,3,3,3
Switzerland,National,Part-time,Permanent,4,4,1,1,1,2,32,3,4,3,3
Denmark,National,Full-time,Permanent,4,4,1,4,2,5,21,3,3,2,3
Switzerland,Regional,Full-time,Permanent,3,4,1,1,2,1,13,3,3,3,3
Denmark,National,Full-time,Permanent,3,2,1,2,3,4,19,2,2,2,2
Denmark,National,Full-time,Permanent,2,3,2,4,4,4,9,3,3,2,3
UK,Transnational,Freelancer,NA,4,4,1,3,3,4,29,4,4,4,4
Austria,National,Full-time,Permanent,4,4,1,3,2,1,30,3,3,2,2
Germany,Local,Full-time,Permanent,5,5,1,4,2,3,20,4,3,4,3
Germany,Regional,Freelancer,NA,2,4,1,4,1,1,20,3,3,1,2
Switzerland,Regional,Full-time,Permanent,4,5,1,5,4,1,20,2,2,2,1
Austria,Regional,Full-time,Permanent,4,4,1,3,5,1,30,3,3,3,2
Denmark,National,Freelancer,NA,4,4,1,1,1,1,35,3,3,3,3
Denmark,National,Full-time,Permanent,4,5,2,2,1,4,25,3,3,3,3
Denmark,National,Full-time,Temporary,4,3,4,5,2,4,2,3,3,2,3
Denmark,Local,Full-time,Permanent,4,4,1,4,4,3,8,4,4,4,4
Denmark,National,Full-time,Permanent,3,4,5,2,1,1,23,3,2,2,2
Denmark,National,Full-time,Permanent,4,4,4,2,2,4,29,3,3,3,3
Denmark,National,Freelancer,NA,2,3,2,1,4,2,23,4,2,2,2
Denmark,National,Freelancer,NA,4,3,3,4,3,4,4,2,2,2,3
Denmark,National,Full-time,Permanent,5,5,2,3,2,2,5,3,2,2,2
Germany,National,Full-time,Permanent,3,4,2,2,2,2,15,3,2,2,2
Denmark,National,Part-time,Permanent,5,5,1,1,3,1,18,1,3,3,3
UK,National,Full-time,Permanent,3,3,2,4,2,2,6,3,3,2,3
Germany,Regional,Full-time,Permanent,4,4,2,3,3,1,7,4,3,3,3
Switzerland,Local,Full-time,Permanent,5,5,1,3,3,3,1,3,3,2,2
Germany,Local,Full-time,Permanent,5,5,1,2,2,2,35,4,4,3,2
UK,Regional,Full-time,Permanent,3,4,2,4,2,4,30,3,3,2,2
Switzerland,National,Full-time,Permanent,4,4,1,1,1,2,18,3,4,2,2
Austria,National,Freelancer,NA,5,5,1,2,2,2,40,3,3,3,3
UK,Transnational,Full-time,Permanent,4,4,2,4,4,4,5,2,2,3,3
Denmark,Regional,Freelancer,NA,4,4,3,3,3,3,53,4,1,3,3
Denmark,Regional,Full-time,Permanent,4,5,1,4,4,4,35,5,4,3,3
Germany,National,Part-time,Permanent,4,4,1,4,2,2,40,2,1,2,2
Denmark,Regional,Freelancer,NA,3,4,2,4,2,4,30,2,2,2,2
Denmark,National,Full-time,Permanent,4,5,1,1,2,1,25,4,3,2,3
Switzerland,National,Part-time,Permanent,4,5,2,4,1,1,16,3,3,2,2
Denmark,Regional,Full-time,Permanent,5,5,1,2,1,1,24,5,3,2,3
Germany,Regional,Full-time,Permanent,4,5,1,3,3,2,35,3,2,2,2
UK,Regional,Full-time,Permanent,4,5,1,1,1,1,25,5,3,3,3
Denmark,National,Full-time,Permanent,5,5,1,2,2,1,16,4,2,2,1
Switzerland,National,Full-time,Permanent,3,4,1,1,2,2,8,3,3,3,3
Germany,Local,Full-time,Permanent,4,4,1,5,2,3,30,4,4,3,3
Denmark,Regional,Full-time,Permanent,4,4,2,4,4,1,23,3,3,2,3
UK,Local,Full-time,Permanent,2,3,1,3,4,3,15,3,1,2,2
Denmark,National,Full-time,Permanent,4,5,2,4,2,2,13,3,3,3,3
Switzerland,Regional,Full-time,Permanent,3,3,1,2,1,1,3,3,3,4,3
UK,Regional,Full-time,Permanent,4,4,1,5,4,1,12,3,3,3,3
UK,National,Full-time,Permanent,4,4,1,4,2,3,5,3,3,3,3
Germany,Local,Full-time,Permanent,4,5,1,3,2,1,10,4,4,4,3
Denmark,Regional,Full-time,Permanent,4,4,2,5,4,3,15,3,2,2,2
UK,National,Full-time,Permanent,3,3,1,4,1,1,38,3,2,3,3
Denmark,Local,Full-time,Permanent,3,3,1,4,2,4,7,2,4,2,2
Germany,Regional,Freelancer,NA,3,2,1,4,3,2,14,4,4,3,3
Switzerland,Regional,Full-time,Permanent,5,5,1,3,2,2,2,4,4,3,3
Austria,Regional,Full-time,Permanent,5,4,1,1,3,1,9,3,3,3,3
UK,National,Full-time,Permanent,4,4,1,1,1,1,23,2,2,2,2
Denmark,National,Freelancer,NA,4,4,1,2,4,2,31,3,3,3,2
UK,Regional,Full-time,Permanent,4,5,2,5,4,4,8,4,4,3,3
Austria,National,Full-time,Permanent,5,5,1,5,2,2,19,2,2,2,2
Switzerland,Regional,Full-time,Permanent,4,4,1,4,1,3,25,3,3,2,3
UK,Regional,Full-time,Permanent,4,4,1,3,3,2,12,3,3,3,3
Switzerland,Regional,Full-time,Temporary,4,4,2,4,2,3,4,4,4,3,3
Germany,Regional,Full-time,Permanent,5,5,1,4,3,1,20,4,3,3,3
Denmark,National,Full-time,Permanent,4,4,1,1,1,3,38,2,2,2,2
Denmark,National,Full-time,Permanent,4,4,2,2,2,5,3,3,2,2,2
Switzerland,Regional,Freelancer,NA,2,3,2,3,4,3,10,3,3,2,3
UK,National,Full-time,Permanent,3,4,3,4,2,4,15,2,2,2,2
Denmark,Regional,Full-time,Temporary,2,2,1,2,2,4,3,3,2,1,2
Denmark,National,Full-time,Permanent,3,4,3,4,3,4,16,3,3,3,3
Denmark,National,Full-time,Permanent,4,4,2,2,1,4,24,4,3,3,4
Austria,National,Full-time,Permanent,4,4,3,4,4,3,8,4,3,2,2
Denmark,National,Freelancer,NA,3,4,2,5,3,2,3,3,2,2,2
UK,National,Full-time,Permanent,3,3,2,5,5,1,15,2,2,2,2
UK,Transnational,Full-time,Permanent,4,5,1,4,4,4,NA,5,4,3,3
Denmark,Regional,Full-time,Temporary,3,3,2,3,2,2,10,2,2,2,2
Austria,National,Full-time,Permanent,3,4,1,4,3,2,12,3,3,3,3
Switzerland,National,Full-time,Temporary,4,4,1,4,3,3,4,2,3,2,2
Denmark,Regional,Full-time,Permanent,4,4,4,4,4,3,27,3,3,3,3
Denmark,Local,Full-time,Permanent,4,4,1,1,1,1,19,3,2,2,2
UK,Transnational,Full-time,Permanent,4,4,2,5,4,4,10,2,2,1,1
Denmark,National,Freelancer,NA,4,5,2,2,1,4,21,2,2,2,2
Denmark,National,Full-time,Permanent,3,4,1,2,1,2,15,3,3,3,3
UK,National,Full-time,Permanent,4,5,1,4,2,2,26,3,3,2,3
Germany,Regional,Freelancer,NA,5,4,1,1,1,1,10,3,2,2,3
UK,Transnational,Full-time,Permanent,3,4,1,4,2,2,NA,2,3,2,3
Germany,Regional,Full-time,Permanent,5,5,1,1,1,1,13,2,2,2,2
Germany,Local,Full-time,Permanent,4,3,1,4,1,2,10,2,2,2,2
Denmark,Regional,Full-time,Permanent,5,5,2,4,4,4,4,2,1,1,1
Austria,National,Part-time,Permanent,4,4,1,2,2,2,25,3,3,3,3
Denmark,National,Full-time,Permanent,4,3,1,1,1,4,30,3,4,3,2
Switzerland,National,Full-time,Permanent,1,1,2,4,3,3,6,3,4,2,3
Austria,Regional,Full-time,Permanent,3,4,1,3,4,2,NA,3,3,3,3
Denmark,National,Full-time,Permanent,4,4,3,4,3,3,3,3,3,2,2
Switzerland,Local,Full-time,Permanent,4,4,1,4,2,3,20,2,2,2,2
Germany,Local,Full-time,Permanent,5,5,1,2,1,2,18,3,2,2,1
Switzerland,National,Full-time,Temporary,5,5,1,5,4,1,1,3,3,3,3
Germany,Regional,Full-time,Permanent,4,4,1,1,1,1,40,3,2,2,2
UK,National,Full-time,Permanent,3,3,2,5,4,5,12,4,4,3,3
Austria,National,Full-time,Permanent,4,4,1,2,1,1,29,3,2,2,2
Austria,National,Part-time,Permanent,4,3,1,3,2,1,30,3,3,2,2
Denmark,National,Full-time,Permanent,4,4,2,3,2,2,9,3,3,3,3
UK,Transnational,Full-time,Permanent,5,5,1,5,5,1,20,3,3,2,2
Denmark,National,Full-time,Permanent,4,4,3,3,1,4,10,3,3,3,3
UK,Transnational,Full-time,Permanent,4,2,1,4,1,2,10,2,3,2,1
Denmark,Regional,Full-time,Permanent,4,4,2,1,1,5,27,4,3,3,2
Germany,Local,Full-time,Permanent,5,5,1,5,2,4,35,4,3,3,3
UK,National,Freelancer,NA,5,5,1,4,2,2,29,3,2,1,2
Austria,National,Part-time,Permanent,4,5,1,3,3,3,42,3,3,3,2
Switzerland,Regional,Full-time,Permanent,4,4,1,5,1,2,7,3,3,3,3
Switzerland,National,Part-time,Permanent,4,3,2,5,3,2,2,3,4,3,3
Switzerland,National,Full-time,Permanent,4,4,1,2,1,3,34,4,3,2,3
Austria,Regional,Full-time,Permanent,5,4,3,4,4,1,19,3,2,3,2
UK,Transnational,Part-time,Permanent,5,5,1,1,1,1,50,3,4,4,3
Switzerland,Transnational,Full-time,Permanent,4,5,1,3,3,1,32,2,2,2,2
Switzerland,National,Part-time,NA,3,3,1,4,2,3,14,2,3,3,3
Denmark,National,Full-time,Permanent,3,4,2,2,2,4,18,3,3,3,3
Austria,Regional,Full-time,Permanent,4,5,2,1,2,1,29,3,3,2,3
Switzerland,National,Full-time,Permanent,3,5,1,3,1,1,5,5,5,2,2
Denmark,National,Full-time,Permanent,5,5,1,1,1,1,17,1,1,1,1
UK,Transnational,Full-time,Permanent,5,5,1,1,1,1,15,3,3,2,3
Switzerland,Local,Full-time,Permanent,4,5,1,4,1,2,5,4,4,3,3
Denmark,National,Full-time,Permanent,3,4,2,5,4,4,10,1,1,1,1
Austria,Regional,Part-time,Permanent,4,4,1,3,4,4,20,3,4,3,3
Austria,Regional,Full-time,Permanent,4,4,5,2,4,2,13,5,4,3,3
Denmark,National,Full-time,NA,4,5,1,1,5,3,13,4,4,2,3
Denmark,Local,Part-time,Permanent,4,4,1,4,4,3,4,2,2,2,2
Switzerland,National,Full-time,Permanent,4,3,1,3,3,3,1,4,4,4,4
Austria,National,Full-time,Permanent,3,4,1,3,2,2,23,4,4,3,3
Denmark,Regional,Full-time,Permanent,5,4,2,4,3,3,21,3,3,2,3
Denmark,Regional,Full-time,Permanent,4,5,1,4,4,2,19,3,1,2,2
Germany,National,Full-time,Permanent,5,5,1,5,3,3,40,3,3,2,2
UK,Transnational,Full-time,Permanent,5,5,1,1,1,1,20,3,2,2,2
Denmark,National,Full-time,Permanent,3,3,2,2,3,5,29,3,3,3,3
Denmark,National,Full-time,NA,3,3,2,5,2,5,30,4,3,2,3
UK,National,Full-time,Permanent,2,4,2,2,1,4,32,3,3,3,3
Switzerland,National,Full-time,Temporary,4,4,1,5,2,1,1,4,4,4,3
Denmark,National,Full-time,Permanent,3,4,2,2,1,4,16,3,3,3,3
UK,National,Full-time,Permanent,3,4,1,5,4,3,3,3,3,3,3
Switzerland,National,Full-time,Permanent,3,4,3,4,2,3,15,2,3,2,2
Austria,National,Full-time,Permanent,4,4,1,3,2,2,12,2,2,2,2
Denmark,Regional,Full-time,Permanent,4,4,1,2,4,2,23,3,2,1,2
Austria,Regional,Full-time,Permanent,5,5,2,4,2,4,30,4,3,3,3
Germany,Regional,Full-time,Permanent,5,5,1,4,2,1,33,4,4,2,3
Switzerland,National,Freelancer,NA,4,4,2,4,2,3,15,4,4,3,3
Denmark,Local,Full-time,Permanent,3,3,2,2,2,4,16,1,1,1,1
Denmark,National,Freelancer,NA,4,4,1,2,4,4,8,2,1,1,1
Switzerland,National,Full-time,Permanent,4,4,1,4,2,1,10,3,4,2,2
Denmark,National,Freelancer,NA,1,1,5,5,4,5,31,2,1,2,2
Denmark,National,Full-time,Temporary,3,4,5,5,3,5,1,3,2,3,2
Denmark,National,Freelancer,NA,4,4,2,1,1,2,15,4,3,3,3
Switzerland,Regional,Full-time,Permanent,5,5,1,1,2,3,4,3,3,3,2
Austria,National,Full-time,Permanent,4,4,2,4,3,3,23,3,2,2,2
Austria,Regional,Part-time,Permanent,4,4,2,4,3,2,27,4,4,3,3
UK,Regional,Full-time,Permanent,3,3,2,4,2,3,28,3,3,3,3
Denmark,National,Full-time,NA,4,5,1,4,2,3,5,4,4,4,4
Austria,National,Freelancer,NA,4,5,1,4,3,2,19,4,2,2,3
Germany,National,Full-time,Permanent,1,1,1,3,1,1,10,3,3,3,3
Denmark,National,Freelancer,NA,2,2,2,2,3,2,20,2,2,2,2
UK,Transnational,Full-time,Permanent,4,4,2,5,4,3,7,2,2,2,2
Austria,National,Freelancer,NA,3,3,1,4,3,3,8,1,1,1,1
Denmark,Regional,Full-time,Permanent,3,3,1,2,1,4,25,4,2,2,2
Switzerland,Local,Full-time,Permanent,4,5,2,4,2,3,10,3,3,4,3
Denmark,National,Full-time,Permanent,4,4,2,4,2,5,3,4,3,3,3
Austria,Regional,Full-time,Permanent,4,4,1,3,2,2,1,2,2,2,2
Austria,National,Full-time,Permanent,4,4,1,3,1,1,15,2,2,2,2
Denmark,National,Full-time,Permanent,5,5,1,3,2,2,33,4,2,3,3
Austria,National,Part-time,Permanent,4,4,1,2,2,1,23,3,3,3,3
Austria,National,Full-time,Permanent,4,4,1,4,3,1,13,4,2,2,3
UK,Local,Full-time,Permanent,4,4,1,1,1,1,35,3,3,3,3
Denmark,Local,Full-time,Permanent,4,4,2,4,4,2,4,3,4,3,3
UK,National,Full-time,Permanent,5,5,1,4,3,2,15,2,2,2,2
Germany,Regional,Full-time,Temporary,5,5,2,3,1,2,30,3,3,2,1
Denmark,National,Full-time,Permanent,2,4,1,2,2,2,9,3,1,1,1
Germany,Regional,Full-time,Permanent,4,5,1,2,2,1,32,2,1,2,2
Austria,Regional,Full-time,Permanent,5,5,2,4,4,4,28,3,3,2,2
Austria,National,Full-time,Permanent,5,5,1,2,2,1,32,3,3,3,3
Austria,National,Full-time,Permanent,4,5,1,4,3,3,12,2,2,2,2
Switzerland,National,Full-time,Permanent,5,5,1,3,2,2,10,3,3,3,3
Denmark,Regional,Full-time,Permanent,3,2,2,4,2,4,16,3,3,4,4
Denmark,National,Full-time,Permanent,4,3,1,1,1,1,10,4,3,2,2
UK,National,Freelancer,NA,4,4,1,4,4,3,20,3,1,2,3
Germany,Regional,Full-time,Permanent,4,5,2,3,3,3,30,3,3,3,3
Germany,National,Full-time,Permanent,4,5,1,4,3,1,16,3,3,3,3
Germany,Regional,Full-time,Permanent,4,4,1,4,3,2,20,4,4,3,3
Austria,Transnational,Full-time,Permanent,3,5,2,4,3,2,16,4,3,3,3
Austria,National,Part-time,Permanent,4,5,1,1,2,1,18,3,2,1,1
Denmark,National,Full-time,NA,4,4,2,4,4,5,28,3,2,2,2
UK,National,Full-time,Permanent,3,3,1,3,4,2,30,3,3,3,3
Switzerland,Regional,Part-time,Permanent,4,4,2,5,2,4,7,3,4,3,3
Denmark,National,Freelancer,NA,4,4,3,4,3,3,15,2,2,2,2
Switzerland,Regional,Full-time,Permanent,4,4,1,3,2,5,8,3,3,3,2
Germany,Local,Full-time,Permanent,5,5,1,4,2,2,30,3,3,1,1
Switzerland,National,Full-time,Permanent,4,5,3,4,4,4,17,3,3,3,3
Denmark,National,Full-time,NA,4,4,3,3,2,4,19,2,2,2,2
Denmark,National,Full-time,Permanent,2,3,5,5,1,5,18,3,3,1,3
Denmark,National,Full-time,Permanent,4,4,1,5,4,4,7,2,2,2,2
Switzerland,National,Full-time,Permanent,4,4,2,3,4,3,13,2,3,1,1
UK,Regional,Full-time,Permanent,4,3,2,5,3,5,6,3,2,3,3
UK,Regional,Part-time,Permanent,4,4,1,4,4,4,20,1,1,1,1
Denmark,National,Full-time,Temporary,2,3,3,4,2,4,7,4,3,3,3
Switzerland,Regional,Full-time,Permanent,4,4,1,4,2,2,18,3,3,3,3
UK,Transnational,Full-time,Permanent,3,4,1,2,4,2,17,3,3,3,3
Denmark,National,Full-time,Permanent,4,5,2,2,1,5,4,3,2,1,3
Austria,National,Full-time,Permanent,4,4,1,4,4,4,20,3,2,2,2
UK,Transnational,Full-time,Permanent,4,5,2,5,4,2,25,2,2,1,1
Switzerland,Regional,Full-time,Permanent,4,4,2,4,2,2,13,4,4,3,3
UK,National,Freelancer,NA,4,2,1,2,4,3,10,3,3,3,3
UK,National,Full-time,Permanent,4,4,1,2,2,3,13,2,3,2,3
Switzerland,Regional,Full-time,Permanent,4,4,2,2,2,2,35,3,3,1,2
Germany,National,Full-time,Permanent,4,4,2,4,2,2,25,3,1,2,3
UK,National,Freelancer,NA,4,3,2,2,2,3,12,1,1,1,1
Austria,National,Full-time,Permanent,4,4,2,3,2,2,8,3,3,2,2
Austria,Regional,Full-time,Permanent,4,5,2,4,2,2,13,2,2,2,2
Switzerland,National,Full-time,Permanent,4,3,1,4,2,2,8,3,3,2,2
Austria,National,Freelancer,NA,3,4,1,2,2,3,1,3,2,2,2
Switzerland,Regional,Full-time,Permanent,4,4,2,3,4,4,2,3,4,3,3
Switzerland,National,Part-time,Permanent,3,3,1,3,1,1,20,2,3,2,2
UK,Transnational,Full-time,Permanent,4,5,2,5,5,5,17,3,2,2,2
Denmark,National,Freelancer,NA,5,4,2,4,2,4,5,2,2,2,2
Germany,Regional,Full-time,Permanent,4,4,1,2,1,4,24,4,3,3,3
Denmark,Regional,Full-time,Permanent,4,4,2,3,2,2,30,3,3,2,3
Austria,National,Full-time,Permanent,4,4,1,2,1,2,2,3,1,2,1
Germany,Regional,Full-time,Permanent,5,5,1,1,1,1,17,4,3,3,3
Denmark,National,Full-time,Permanent,3,4,2,2,1,4,5,3,3,2,2
Switzerland,National,Part-time,Permanent,4,4,3,3,3,3,15,2,2,2,2
Denmark,National,Full-time,Permanent,4,3,1,4,2,2,19,4,3,3,3
Denmark,National,Freelancer,NA,4,4,2,4,3,4,6,3,2,2,2
Denmark,National,Freelancer,NA,4,4,1,5,4,1,40,3,3,1,1
Denmark,National,Full-time,Permanent,4,4,4,2,1,4,15,3,2,2,2
UK,National,Full-time,Permanent,3,4,4,4,4,5,9,4,4,4,4
Switzerland,Local,Full-time,Permanent,4,4,1,2,2,2,14,2,2,2,2
Denmark,National,Full-time,Temporary,5,4,2,2,1,2,3,3,2,2,2
Denmark,National,Full-time,Permanent,3,4,1,2,4,4,16,3,2,2,3
Austria,National,Part-time,NA,4,5,1,1,1,1,14,4,3,2,2
Switzerland,Regional,Part-time,Permanent,4,4,1,5,2,4,10,4,4,3,4
Germany,National,Freelancer,NA,1,3,1,4,4,2,17,4,4,2,2
Austria,National,Part-time,Permanent,4,4,1,4,2,1,13,4,3,3,3
Austria,National,Full-time,Permanent,3,4,2,4,2,3,17,3,2,1,1
UK,Regional,Full-time,Permanent,4,4,1,2,2,4,20,3,2,2,2
Germany,Regional,Full-time,Permanent,5,5,3,1,1,3,27,4,4,3,3
Denmark,Regional,Full-time,Permanent,4,4,3,3,2,4,42,3,3,3,3
Switzerland,Local,Full-time,Permanent,4,4,2,4,3,3,24,3,3,3,2
Austria,Regional,Full-time,Permanent,3,4,1,5,3,2,16,3,3,2,2
Austria,National,Full-time,Permanent,3,3,2,4,2,1,10,4,3,3,2
UK,Transnational,Full-time,Permanent,5,4,1,4,2,3,10,3,2,2,2
UK,Transnational,Full-time,Permanent,5,4,2,1,2,4,22,4,4,3,3
UK,Regional,Full-time,Permanent,4,5,1,5,2,1,14,4,4,4,3
Switzerland,National,Full-time,Permanent,3,4,1,2,2,1,25,2,2,2,2
Denmark,Regional,Full-time,Permanent,3,3,1,4,2,4,23,3,3,3,3
Germany,National,Full-time,Permanent,4,5,1,1,1,1,33,4,3,3,3
Austria,Regional,Full-time,Permanent,5,4,2,4,3,4,24,3,3,3,3
UK,National,Full-time,Permanent,4,4,2,4,3,4,18,3,3,2,3
Germany,National,Part-time,Permanent,3,4,1,4,3,3,25,3,3,2,2
UK,Transnational,Full-time,Permanent,4,4,1,3,4,4,33,3,3,2,2
Austria,Regional,Full-time,Permanent,3,3,1,4,3,2,17,3,3,2,3
UK,National,Full-time,Permanent,4,3,3,5,2,4,6,3,3,3,3
Denmark,National,Full-time,Permanent,4,3,2,4,1,5,15,2,2,1,1
Denmark,National,Full-time,Permanent,5,5,1,2,2,2,26,3,4,4,3
Denmark,National,Full-time,Permanent,4,5,3,3,3,3,NA,3,3,3,3
Germany,Regional,Full-time,Temporary,4,4,2,4,3,3,1,3,3,3,2
Denmark,National,Freelancer,NA,4,5,4,2,2,4,28,3,2,2,2
Denmark,National,Full-time,Permanent,4,4,1,4,3,3,20,4,3,2,2
Austria,National,Full-time,Permanent,4,4,1,3,2,1,16,3,3,2,2
Austria,Regional,Full-time,Permanent,4,4,1,5,3,2,20,3,3,3,3
Switzerland,Regional,Full-time,Permanent,4,5,3,4,3,3,21,4,4,2,3
Germany,National,Full-time,Permanent,5,5,1,4,3,1,18,5,5,4,4
Denmark,National,Full-time,Temporary,4,4,5,3,1,5,4,2,2,1,1
Denmark,National,Full-time,Permanent,3,3,2,1,3,1,41,2,2,2,2
Denmark,National,Freelancer,NA,3,4,3,2,2,4,43,3,3,2,2
Denmark,National,Full-time,Permanent,2,2,4,4,2,5,5,2,2,1,2
Denmark,National,Full-time,Permanent,1,2,1,3,2,4,35,1,1,1,3
Germany,Regional,Full-time,Permanent,4,4,1,4,2,1,27,3,3,2,2
Austria,National,Full-time,Permanent,3,4,1,3,2,1,17,4,4,3,3
UK,National,Full-time,Permanent,3,4,4,4,4,5,6,2,1,3,3
Denmark,National,Full-time,Permanent,4,4,2,4,2,4,6,3,3,3,3
Switzerland,National,Part-time,Permanent,4,5,2,3,1,3,22,4,4,3,3
Switzerland,Regional,Full-time,Permanent,4,4,1,2,1,1,40,2,2,1,2
Denmark,Local,Full-time,Permanent,4,4,2,2,2,3,10,3,2,2,3
